,id,f01,f02,f03,f04,f05,f06,f07,f08,f09,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,target
id,1.0,0.008557742027533573,0.008405571495080331,-0.001994071217107116,0.0010812613056844418,-0.0198640886795296,-0.0032749953899047757,0.007778052123339828,-0.001065168868441323,0.004753489911462495,0.007090163060988852,-0.013046511545798705,-0.016449326614782794,0.005016667624142908,0.007975953912149723,0.006598776303897276,0.00412940039528495,-0.00599090096449627,0.008801616359056758,-0.0061189877842507704,0.01486287227179105,0.005995509899985363,-0.011185615906668627,0.003306867912593066,0.0018532024113201268,-0.0012968225559426743,0.015653500776000324,-0.011335348564529538,0.0059875281359429025,-0.014924731709599117
f01,0.008557742027533573,1.0,-0.004946807740143875,-0.3476888058186459,0.0020623810727383477,0.13087796525339573,-0.23672885722286136,0.009630802754130495,-0.010455401992950324,-0.0008708018223015978,0.014152436022221736,-0.3916526873402977,0.022666903626581435,0.255352633247556,0.003019981417673782,-0.11091773678965508,0.007456800609873436,0.1814238247503497,-0.10523443617630265,0.004629028038036928,0.0017741542157089624,0.004967497454923137,-0.18434792494413854,-0.013442684800512816,-0.0012066081568625536,-0.3779980283694227,0.0030702090431492944,-0.19351405924352175,0.07466582554399707,0.1509729102499585
f02,0.008405571495080331,-0.004946807740143875,1.0,-0.02191819954580086,-0.0134316679092427,0.016944134789437234,-0.01482321506280791,0.01932504128669868,0.020154825209018883,-0.02048193038314704,-0.0035455234042459315,0.011843282360167254,0.00228005352397317,-0.0013204208910815303,-0.0051857373236962575,0.0022750719213827826,0.0024869266053987133,-0.0077671469074280875,-0.013923343468845257,-0.011333241070169727,-0.003654451446776352,0.002118346071900512,0.019879958392581054,0.0011751531631686205,-0.006810168146018659,0.017946197001400432,-0.004078382957930392,0.005701127110142959,-0.017661569370728984,-0.008259043346047773
f03,-0.001994071217107116,-0.3476888058186459,-0.02191819954580086,1.0,0.007865239130086625,-0.2762460874391632,0.5964097702385377,-0.6313217949811386,0.01160241213408309,0.004137369397170185,0.05836161840264684,-0.0033828126896852965,0.22293043525843054,-0.3941611423665024,0.006595719768741543,-0.08286403948441701,0.0005383264714639808,0.027583085462908573,0.41769268015898003,-0.0008836732068421634,-0.00411868506732386,0.001278513088604449,-0.5060442252562625,-0.004303683042765753,-0.0017171453135251184,-0.32549859819517496,0.004436845690101431,0.1442811203944691,0.6012120074860418,0.19370416563251455
f04,0.0010812613056844418,0.0020623810727383477,-0.0134316679092427,0.007865239130086625,1.0,0.0006135019919987966,0.008884334198199687,-0.002943322232849927,-0.0015094863586622887,-0.0007620267558552437,-2.376948157044286e-05,-0.0031149147898783735,-0.0034621206282678674,-0.012130048129375301,-0.011656429663045588,0.003398578465830457,0.0007183695613327129,-0.014210602003685076,-0.008450086878098582,0.013463287728762402,-0.019621944569618792,-0.008174640125733056,0.001966367586126683,0.0009339095925199241,-0.011742577100442447,-0.0030697850819443803,0.009039423228495302,-0.00336537458859254,0.012152586711810047,0.01481444405100814
f05,-0.0198640886795296,0.13087796525339573,0.016944134789437234,-0.2762460874391632,0.0006135019919987966,1.0,-0.5495169374920246,0.15030784454790624,0.003551885419242852,0.0015759060409671667,-0.17272910307587805,0.36152805908045993,0.0806334070021612,-0.23361315076296188,-0.01770275646553644,-0.03402901135547163,0.0140556209317016,0.11616997116059617,-0.09270804083757067,-0.013092177065468362,0.014386014856790778,-0.009774564006467904,0.3467749023520892,0.011801240636959219,0.008504488053303092,-0.015592087130099679,0.01499790951032394,0.31338265070397214,-0.24916271881165894,0.2671339037694158
f06,-0.0032749953899047757,-0.23672885722286136,-0.01482321506280791,0.5964097702385377,0.008884334198199687,-0.5495169374920246,1.0,-0.5990231350844405,-0.0023841642271458133,0.0032142172195507826,0.3252657153069522,-0.13351875260993015,0.18775294130968054,0.01997391743792849,0.010227681615972572,-0.12216471627908958,-0.014527996759205977,0.08026185047102673,-0.2832645148631925,0.005457182360849168,-0.006780946233524347,-0.0026130369743034856,-0.18551544911021275,-0.010774723589855933,-0.00723041170487567,-0.13299863025831823,0.0037151591742648165,0.02797625193930792,0.40453832098566045,0.00835539293282942
f07,0.007778052123339828,0.009630802754130495,0.01932504128669868,-0.6313217949811386,-0.002943322232849927,0.15030784454790624,-0.5990231350844405,1.0,0.004333087072085654,-0.0015730574836961416,-0.03320845080152404,0.35680752807343524,-0.22620492174609685,-0.05930150608465205,0.0044699341975757536,-0.048962149041234554,-0.0033521376575757146,-0.117774666248053,-0.12328895257630469,-0.005885774404060595,0.000678371843084049,0.003475499524128947,0.2699615235025437,0.0025704732820672057,0.009072706260903394,0.37434286537425315,0.00017050413498306038,0.19420113095039834,-0.21525093220805078,0.004592771370907917
f08,-0.001065168868441323,-0.010455401992950324,0.020154825209018883,0.01160241213408309,-0.0015094863586622887,0.003551885419242852,-0.0023841642271458133,0.004333087072085654,1.0,0.005263893686313915,-0.00644660979936558,0.004630983253306047,-0.0035629707987313306,-0.012157201773339607,-0.0037649032003992467,-0.013263942339028697,-0.013286894794530492,-0.005643407614112868,0.01399206443152993,0.01096638147962182,-0.01346655717795941,-0.005052529817908223,0.002457861095818774,-0.0004828960703691065,0.0023582266183949747,-0.005961238826263113,0.007161411721700722,0.0023924884021380853,0.009412312709802369,-0.003910688867698786
f09,0.004753489911462495,-0.0008708018223015978,-0.02048193038314704,0.004137369397170185,-0.0007620267558552437,0.0015759060409671667,0.0032142172195507826,-0.0015730574836961416,0.005263893686313915,1.0,-0.002345569668648927,-0.005989289469843428,-0.0012296326868731946,0.005549232733791083,0.005692560566788277,-0.007846700278692038,-0.0067606285551094925,-0.005051697855972204,0.0037984616662871135,0.01021041037859745,-0.0028584998965808656,0.006505794869752626,0.004324692159074205,-0.003917145386587929,-0.0001371454985383385,-0.004695670184878408,0.003504758153938104,0.0015888135568988397,0.01056931919149384,0.005426089799756868
f10,0.007090163060988852,0.014152436022221736,-0.0035455234042459315,0.05836161840264684,-2.376948157044286e-05,-0.17272910307587805,0.3252657153069522,-0.03320845080152404,-0.00644660979936558,-0.002345569668648927,1.0,0.06623411499642923,0.26182321242966594,-0.07980424520464392,0.00338934742197137,0.056929192233281245,-0.017004431908346385,0.10695282434080468,-0.14837975199205317,0.011522471612420732,0.0057251045654811575,-0.003188582692788948,-0.3248037891255238,-0.015563308847237433,0.001353378131968756,0.5360516495924614,-0.006904579785377295,0.38037178424837403,-0.2676285835988964,0.13363169619977655
f11,-0.013046511545798705,-0.3916526873402977,0.011843282360167254,-0.0033828126896852965,-0.0031149147898783735,0.36152805908045993,-0.13351875260993015,0.35680752807343524,0.004630983253306047,-0.005989289469843428,0.06623411499642923,1.0,0.2939297706430889,-0.5474137195376362,-0.0035108964421683864,0.26812372881900093,-0.005158562090913286,0.5235384234418249,-0.3142524873597467,-0.015260612114901345,0.005709629881949808,-0.005960354222289736,-0.13617743561701312,0.012475946550291706,0.008774491588218022,0.3021860733176864,0.014700474781789355,0.6884989144413963,-0.22891810340626462,0.20760250748846634
f12,-0.016449326614782794,0.022666903626581435,0.00228005352397317,0.22293043525843054,-0.0034621206282678674,0.0806334070021612,0.18775294130968054,-0.22620492174609685,-0.0035629707987313306,-0.0012296326868731946,0.26182321242966594,0.2939297706430889,1.0,-0.0002509042831269765,0.007985920530959882,0.12333744766939266,0.005449872958398285,0.3452870410087548,-0.00895967311435791,0.00016269308615685682,0.02102254625102319,-0.006482406699249752,-0.525828245320698,-0.00594642830304645,-0.006154870454906288,0.34812182603011377,-0.0005138124504336104,0.6593313810042318,-0.0799717110326918,0.22241544835539914
f13,0.005016667624142908,0.255352633247556,-0.0013204208910815303,-0.3941611423665024,-0.012130048129375301,-0.23361315076296188,0.01997391743792849,-0.05930150608465205,-0.012157201773339607,0.005549232733791083,-0.07980424520464392,-0.5474137195376362,-0.0002509042831269765,1.0,-0.003158505303504636,-0.08997762990853615,0.004754597371400203,0.026407714090901563,-0.02545427241925862,0.006869509875779718,-0.004335410340769442,-4.604701842486715e-05,0.18165333174028306,0.0004682527415688407,-0.007627954067827611,-0.01611807760268012,-0.00963606300240304,-0.15083399900251612,0.028850629183992216,-0.38664463045326414
f14,0.007975953912149723,0.003019981417673782,-0.0051857373236962575,0.006595719768741543,-0.011656429663045588,-0.01770275646553644,0.010227681615972572,0.0044699341975757536,-0.0037649032003992467,0.005692560566788277,0.00338934742197137,-0.0035108964421683864,0.007985920530959882,-0.003158505303504636,1.0,-0.0015181704507907015,0.004484295751175996,-0.007419196405531434,-0.0006884422057816925,-0.00023426255927912117,0.007250715346261872,0.007742978870238349,-0.011064915663751038,-0.026863864005498346,0.010323407689789175,0.0031385502500679953,0.0059953569596678,0.0007455572254733631,0.011149600990556754,0.0028381226524747797
f15,0.006598776303897276,-0.11091773678965508,0.0022750719213827826,-0.08286403948441701,0.003398578465830457,-0.03402901135547163,-0.12216471627908958,-0.048962149041234554,-0.013263942339028697,-0.007846700278692038,0.056929192233281245,0.26812372881900093,0.12333744766939266,-0.08997762990853615,-0.0015181704507907015,1.0,0.005130394663339784,0.06800925452912884,-0.25093981588484865,-0.0009155900387158453,0.004197426658814705,-0.0010100874346757876,-0.34799555343348954,0.008732467473512563,0.0005510737301281815,0.4068927454985,-0.015781659534941723,0.14598495989244975,-0.24795419972584598,-0.1372122231167522
f16,0.00412940039528495,0.007456800609873436,0.0024869266053987133,0.0005383264714639808,0.0007183695613327129,0.0140556209317016,-0.014527996759205977,-0.0033521376575757146,-0.013286894794530492,-0.0067606285551094925,-0.017004431908346385,-0.005158562090913286,0.005449872958398285,0.004754597371400203,0.004484295751175996,0.005130394663339784,1.0,-0.004041473142964528,0.011519782838652902,0.012840288026126925,0.004708492072926858,0.01069031288917272,-0.0018278350638012582,0.006437192249560874,-0.01282194454577172,-0.007271677083907038,0.005536916410467968,0.0011583331535231034,0.007012621774434462,0.0013639620308295204
f17,-0.00599090096449627,0.1814238247503497,-0.0077671469074280875,0.027583085462908573,-0.014210602003685076,0.11616997116059617,0.08026185047102673,-0.117774666248053,-0.005643407614112868,-0.005051697855972204,0.10695282434080468,0.5235384234418249,0.3452870410087548,0.026407714090901563,-0.007419196405531434,0.06800925452912884,-0.004041473142964528,1.0,-0.22040910936923605,-0.007952099506853964,-0.0039738530219134175,-0.0023430034285981402,-0.42369270110002466,0.0062592378546579746,0.0020722046329276515,-0.21256529598221677,0.0175010582867629,0.47871994752950264,-0.06285852961068404,0.08637714168142503
f18,0.008801616359056758,-0.10523443617630265,-0.013923343468845257,0.41769268015898003,-0.008450086878098582,-0.09270804083757067,-0.2832645148631925,-0.12328895257630469,0.01399206443152993,0.0037984616662871135,-0.14837975199205317,-0.3142524873597467,-0.00895967311435791,-0.02545427241925862,-0.0006884422057816925,-0.25093981588484865,0.011519782838652902,-0.22040910936923605,1.0,0.004089170127422959,-0.0014086360882302287,0.007374838777576854,-0.30595387782513817,-0.0002855992779730607,-0.0001823197058198913,-0.17605994851440057,-0.008738048400623498,-0.10919147243306208,0.21162724305614936,0.002364183612063232
f19,-0.0061189877842507704,0.004629028038036928,-0.011333241070169727,-0.0008836732068421634,0.013463287728762402,-0.013092177065468362,0.005457182360849168,-0.005885774404060595,0.01096638147962182,0.01021041037859745,0.011522471612420732,-0.015260612114901345,0.00016269308615685682,0.006869509875779718,-0.00023426255927912117,-0.0009155900387158453,0.012840288026126925,-0.007952099506853964,0.004089170127422959,1.0,-0.01671718535646064,-0.009017883013056076,-0.0036566602763328368,0.021770541365292665,-0.0006431534897994775,0.00609089244879337,-0.009617279896478339,-0.010125107170836194,-0.006223216120573654,-0.025083864870202623
f20,0.01486287227179105,0.0017741542157089624,-0.003654451446776352,-0.00411868506732386,-0.019621944569618792,0.014386014856790778,-0.006780946233524347,0.000678371843084049,-0.01346655717795941,-0.0028584998965808656,0.0057251045654811575,0.005709629881949808,0.02102254625102319,-0.004335410340769442,0.007250715346261872,0.004197426658814705,0.004708492072926858,-0.0039738530219134175,-0.0014086360882302287,-0.01671718535646064,1.0,0.002779838009850514,-0.0015987793812571578,-0.0008879459375070527,0.0034999461100371854,0.015999686087310824,-0.003585086241987297,0.012362352758685864,-0.01183781848753319,0.0026049731390996667
f21,0.005995509899985363,0.004967497454923137,0.002118346071900512,0.001278513088604449,-0.008174640125733056,-0.009774564006467904,-0.0026130369743034856,0.003475499524128947,-0.005052529817908223,0.006505794869752626,-0.003188582692788948,-0.005960354222289736,-0.006482406699249752,-4.604701842486715e-05,0.007742978870238349,-0.0010100874346757876,0.01069031288917272,-0.0023430034285981402,0.007374838777576854,-0.009017883013056076,0.002779838009850514,1.0,-0.005901861776591048,-0.0010922658631733744,-0.022206373081274954,-0.005632619102778212,-0.0038953422273902724,-0.007674909158397964,0.005264014181041566,-0.0013944444155142778
f22,-0.011185615906668627,-0.18434792494413854,0.019879958392581054,-0.5060442252562625,0.001966367586126683,0.3467749023520892,-0.18551544911021275,0.2699615235025437,0.002457861095818774,0.004324692159074205,-0.3248037891255238,-0.13617743561701312,-0.525828245320698,0.18165333174028306,-0.011064915663751038,-0.34799555343348954,-0.0018278350638012582,-0.42369270110002466,-0.30595387782513817,-0.0036566602763328368,-0.0015987793812571578,-0.005901861776591048,1.0,0.009306411409869745,0.0015582569653791159,-0.0018724896524636987,0.005712415114243184,-0.3855821017969403,-0.2374915349728657,-0.17118692091372317
f23,0.003306867912593066,-0.013442684800512816,0.0011751531631686205,-0.004303683042765753,0.0009339095925199241,0.011801240636959219,-0.010774723589855933,0.0025704732820672057,-0.0004828960703691065,-0.003917145386587929,-0.015563308847237433,0.012475946550291706,-0.00594642830304645,0.0004682527415688407,-0.026863864005498346,0.008732467473512563,0.006437192249560874,0.0062592378546579746,-0.0002855992779730607,0.021770541365292665,-0.0008879459375070527,-0.0010922658631733744,0.009306411409869745,1.0,-0.0026237954136507724,-0.0009188952685020888,-0.005812958032072519,0.002529327617393463,-0.005459248645976406,-0.0018880085826413404
f24,0.0018532024113201268,-0.0012066081568625536,-0.006810168146018659,-0.0017171453135251184,-0.011742577100442447,0.008504488053303092,-0.00723041170487567,0.009072706260903394,0.0023582266183949747,-0.0001371454985383385,0.001353378131968756,0.008774491588218022,-0.006154870454906288,-0.007627954067827611,0.010323407689789175,0.0005510737301281815,-0.01282194454577172,0.0020722046329276515,-0.0001823197058198913,-0.0006431534897994775,0.0034999461100371854,-0.022206373081274954,0.0015582569653791159,-0.0026237954136507724,1.0,-0.00010430604963274578,-0.006699194178772465,0.006235082431783536,0.001242310812620086,0.015175928919288952
f25,-0.0012968225559426743,-0.3779980283694227,0.017946197001400432,-0.32549859819517496,-0.0030697850819443803,-0.015592087130099679,-0.13299863025831823,0.37434286537425315,-0.005961238826263113,-0.004695670184878408,0.5360516495924614,0.3021860733176864,0.34812182603011377,-0.01611807760268012,0.0031385502500679953,0.4068927454985,-0.007271677083907038,-0.21256529598221677,-0.17605994851440057,0.00609089244879337,0.015999686087310824,-0.005632619102778212,-0.0018724896524636987,-0.0009188952685020888,-0.00010430604963274578,1.0,-0.018241494301049908,0.3945458594060902,-0.6142055145553834,-0.07597594217529666
f26,0.015653500776000324,0.0030702090431492944,-0.004078382957930392,0.004436845690101431,0.009039423228495302,0.01499790951032394,0.0037151591742648165,0.00017050413498306038,0.007161411721700722,0.003504758153938104,-0.006904579785377295,0.014700474781789355,-0.0005138124504336104,-0.00963606300240304,0.0059953569596678,-0.015781659534941723,0.005536916410467968,0.0175010582867629,-0.008738048400623498,-0.009617279896478339,-0.003585086241987297,-0.0038953422273902724,0.005712415114243184,-0.005812958032072519,-0.006699194178772465,-0.018241494301049908,1.0,0.00923280489061554,0.00964122131588044,0.008689054137305566
f27,-0.011335348564529538,-0.19351405924352175,0.005701127110142959,0.1442811203944691,-0.00336537458859254,0.31338265070397214,0.02797625193930792,0.19420113095039834,0.0023924884021380853,0.0015888135568988397,0.38037178424837403,0.6884989144413963,0.6593313810042318,-0.15083399900251612,0.0007455572254733631,0.14598495989244975,0.0011583331535231034,0.47871994752950264,-0.10919147243306208,-0.010125107170836194,0.012362352758685864,-0.007674909158397964,-0.3855821017969403,0.002529327617393463,0.006235082431783536,0.3945458594060902,0.00923280489061554,1.0,0.05134576855529817,0.26955777152470733
f28,0.0059875281359429025,0.07466582554399707,-0.017661569370728984,0.6012120074860418,0.012152586711810047,-0.24916271881165894,0.40453832098566045,-0.21525093220805078,0.009412312709802369,0.01056931919149384,-0.2676285835988964,-0.22891810340626462,-0.0799717110326918,0.028850629183992216,0.011149600990556754,-0.24795419972584598,0.007012621774434462,-0.06285852961068404,0.21162724305614936,-0.006223216120573654,-0.01183781848753319,0.005264014181041566,-0.2374915349728657,-0.005459248645976406,0.001242310812620086,-0.6142055145553834,0.00964122131588044,0.05134576855529817,1.0,0.1305642367501361
target,-0.014924731709599117,0.1509729102499585,-0.008259043346047773,0.19370416563251455,0.01481444405100814,0.2671339037694158,0.00835539293282942,0.004592771370907917,-0.003910688867698786,0.005426089799756868,0.13363169619977655,0.20760250748846634,0.22241544835539914,-0.38664463045326414,0.0028381226524747797,-0.1372122231167522,0.0013639620308295204,0.08637714168142503,0.002364183612063232,-0.025083864870202623,0.0026049731390996667,-0.0013944444155142778,-0.17118692091372317,-0.0018880085826413404,0.015175928919288952,-0.07597594217529666,0.008689054137305566,0.26955777152470733,0.1305642367501361,1.0
